aru_name,avg_temp,snow_melt_days,non_snow_days,last_snow_melt_day,tomst_num,temp_binary
ARUQ0,3.8377411833284754,0,47,NA,39,low
ARUQ1,5.045165094339622,24,24,2024-06-08,9,high
ARUQ10,3.0907389334262807,8,40,2024-06-05,33,low
ARUQ11,5.045165094339622,24,24,2024-06-08,9,high
ARUQ12,3.3434323271665045,20,29,2024-06-10,1,low
ARUQ13,3.8063327948303716,14,36,2024-06-01,3,low
ARUQ14,4.510878754171301,25,25,2024-06-12,7,high
ARUQ15,5.145262557077626,24,26,2024-06-09,15,high
ARUQ16,3.9190950704225354,10,41,2024-06-05,13,low
ARUQ17,5.145262557077626,24,26,2024-06-09,15,high
ARUQ18,3.1482250072865052,0,47,NA,35,low
ARUQ19,5.145262557077626,24,26,2024-06-09,15,high
ARUQ2,5.045165094339622,24,24,2024-06-08,9,high
ARUQ3,3.9621505376344084,8,41,2024-05-26,29,low
ARUQ4,4.693067375886525,24,24,2024-06-08,40,high
ARUQ5,3.8377411833284754,0,47,NA,39,low
ARUQ6,5.594130136986301,27,20,2024-06-13,4,high
ARUQ7,3.264655978623914,7,42,2024-05-28,17,low
ARUQ8,4.510878754171301,25,25,2024-06-12,7,high
ARUQ9,3.851993587875255,0,47,NA,20,low
