spec.code,species
BLGU,Black Guillemot
LALO,Lapland Longspur
BRAN,Brant
SESA,Semipalmated Sandpiper
RNPL,Red-necked Phalarope
COEI,Common Eider
SNBU,Snow Bunting
PTAR,ptarmigan sp.
LTJA,Long-tailed Jaeger
NOPI,Northern Pintail
COLO,Common Loon
GLGU,Glaucous Gull
CLSW,Cliff Swallow
HORE,Hoary Redpoll
SEPL,Semipalmated Plover
LEYE,Lesser Yellowlegs
LESC,Lesser Scaup
CORA,Common Raven
GULL,gull sp.
WESA,Western Sandpiper
HERG,Herring Gull
RUTU,Ruddy Turnstone
POJA,Pomarine Jaeger
TUSW,Tundra Swan
BASA,Baird's Sandpiper
SAVS,Savannah Sparrow
SMLO,Smith's longspur
NSHO,Northern Shoveler
PALO,Pacific Loon 
AMWI,American Wigeon
LTDU,Long-tailed Duck
GWTE,Green-winged Teal
SUSC,Surf Scoter
PHAL,phalarope sp.
SHORE,shorebird sp.
PESA,Pectoral Sandpiper
RTLO,Red-throated Loon
SOSP,Song Sparrow
WISN,Wilson's Snipe
AMGP,American Golden Plover
NOHA,Northern Harrier
RLHA,Rough-legged Hawk
WCSP,White-crowned Sparrow
SAND,Sanderling
GWFG,Greater White-fronted Goose
BIRD,bird spp.
CORE,Common Redpoll
SACR,Sandhill Crane
CANV,Canvasback
SEOW,Short-eared Owl
CAGO,Canada Goose
WHIM,Whimbrel
RBME,Red-breasted Merganser
MALL,Mallard
WWSC,White-winged Scoter
PASS,passerine sp.
COGO,Common Goldeneye
RWBL,Red-winged Blackbird
REDP,Redpoll
LBDO,Long-billed Dowitcher
COME,Common Merganser
AMRO,American Robin
IVGU,Ivory Gull
DUCK,duck sp.
SNOW,Snowy Owl
SNGO,Snow Goose
MEGU,Mew Gull
OSPR,Osprey
PEFA,Peregrine Falcon
GOEA,Golden Eagle
LESA,Least Sandpiper
LOON,loon sp.
AMPI,American Pipit
BBSA,Buff-breasted Sandpiper
KIEI,King Eider
WRSA,White-rumped Sandpiper
GADW,Gadwall
GCTH,Gray-cheeked Thrush
SAPH,Say's Phoebe
NOWA,Northern Waterthrush
HASP,Harris's Sparrow
BBPL,Black-bellied Plover
HOLA,Horned Lark
ATSP,American Tree Sparrow
MOBL,Mountain Bluebird
BLUE,Bluethroat
SPSA,Spotted Sandpiper
EYWA,Eastern Yellow Wagtail
STSA,Stilt Sandpiper
