spec.code,species,guild,guild2,select,comments
BLGU,Black Guillemot,waterbird,other,,
LALO,Lapland Longspur,passerine,passerine,,
BRAN,Brant,waterbird,duck,,
SESA,Semipalmated Sandpiper,shorebird,shorebird,,
RNPL,Red-necked Phalarope,shorebird,shorebird,,
COEI,Common Eider,waterbird,duck,,
SNBU,Snow Bunting,passerine,passerine,,
PTAR,ptarmigan sp.,NA,other,,
LTJA,Long-tailed Jaeger,birdofprey,gull,,
NOPI,Northern Pintail,waterbird,duck,,
COLO,Common Loon,waterbird,duck,,lol
GLGU,Glaucous Gull,waterbird,gull,,lol
CLSW,Cliff Swallow,passerine,passerine,,
HORE,Hoary Redpoll,passerine,passerine,,
SEPL,Semipalmated Plover,shorebird,shorebird,,
LEYE,Lesser Yellowlegs,shorebird,shorebird,,
LESC,Lesser Scaup,waterbird,duck,,
CORA,Common Raven,NA,other,,
GULL,gull sp.,waterbird,gull,,
WESA,Western Sandpiper,shorebird,shorebird,,
HERG,Herring Gull,waterbird,gull,,
RUTU,Ruddy Turnstone,shorebird,shorebird,,
POJA,Pomarine Jaeger,birdofprey,gull,,
TUSW,Tundra Swan,waterbird,duck,,
BASA,Baird's Sandpiper,shorebird,shorebird,,
SAVS,Savannah Sparrow,passerine,passerine,,
SMLO,Smith's longspur,passerine,passerine,,
NSHO,Northern Shoveler,waterbird,duck,,
PALO,Pacific Loon ,waterbird,duck,,lol
AMWI,American Wigeon,waterbird,duck,,
LTDU,Long-tailed Duck,waterbird,duck,,
GWTE,Green-winged Teal,waterbird,duck,,
SUSC,Surf Scoter,waterbird,duck,,
PHAL,phalarope sp.,shorebird,shorebird,,
SHORE,shorebird sp.,shorebird,shorebird,,
PESA,Pectoral Sandpiper,shorebird,shorebird,,
RTLO,Red-throated Loon,waterbird,duck,,lol
SOSP,Song Sparrow,passerine,passerine,,
WISN,Wilson's Snipe,shorebird,shorebird,,
AMGP,American Golden Plover,passerine,passerine,,
NOHA,Northern Harrier,birdofprey,hawk,,
RLHA,Rough-legged Hawk,birdofprey,hawk,,
WCSP,White-crowned Sparrow,passerine,passerine,,
SAND,Sanderling,shorebird,shorebird,,
GWFG,Greater White-fronted Goose,waterbird,duck,,"lol, funny to call geese seabirds"
BIRD,bird spp.,na,other,,
CORE,Common Redpoll,passerine,passerine,,
SACR,Sandhill Crane,na,other,,
CANV,Canvasback,waterbird,duck,,
SEOW,Short-eared Owl,birdofprey,owl,,
CAGO,Canada Goose,waterbird,duck,,
WHIM,Whimbrel,shorebird,shorebird,,
RBME,Red-breasted Merganser,waterbird,duck,,
MALL,Mallard,waterbird,duck,,
WWSC,White-winged Scoter,waterbird,duck,,
PASS,passerine sp.,passerine,passerine,,
COGO,Common Goldeneye,waterbird,duck,,
RWBL,Red-winged Blackbird,passerine,passerine,,
LBDO,Long-billed Dowitcher,shorebird,shorebird,,
COME,Common Merganser,waterbird,duck,,
AMRO,American Robin,passerine,passerine,,
IVGU,Ivory Gull,waterbird,gull,,
DUCK,duck sp.,waterbird,duck,,
SNOW,Snowy Owl,birdofprey,owl,,
SNGO,Snow Goose,waterbird,duck,,
MEGU,Mew Gull,waterbird,gull,,
OSPR,Osprey,birdofprey,hawk,,
PEFA,Peregrine Falcon,birdofprey,falcon,,
GOEA,Golden Eagle,birdofprey,hawk,,
LESA,Least Sandpiper,shorebird,shorebird,,
LOON,loon sp.,waterbird,duck,,
AMPI,American Pipit,passerine,passerine,,
BBSA,Buff-breasted Sandpiper,shorebird,shorebird,,
KIEI,King Eider,waterbird,duck,,
WRSA,White-rumped Sandpiper,waterbird,duck,,
GADW,Gadwall,waterbird,duck,,
GCTH,Gray-cheeked Thrush,passerine,passerine,,
SAPH,Say's Phoebe,passerine,passerine,,
NOWA,Northern Waterthrush,passerine,passerine,,
HASP,Harris's Sparrow,passerine,passerine,,
BBPL,Black-bellied Plover,shorebird,shorebird,,
HOLA,Horned Lark,passerine,passerine,,
ATSP,American Tree Sparrow,passerine,passerine,,
MOBL,Mountain Bluebird,passerine,passerine,,
BLUE,Bluethroat,passerine,passerine,,
SPSA,Spotted Sandpiper,shorebird,shorebird,,
EYWA,Eastern Yellow Wagtail,waterbird,duck,,
STSA,Stilt Sandpiper,shorebird,shorebird,,
REDP,Redpoll,passerine,passerine,,
